name,code,state,lat,lon
KOKA,KOKA, ,21.263021,79.712409
DAGHORA,DAO, ,21.857535,83.678086
HEMAGIRI,HGR, ,21.876504,83.742815
Nainpur Junction,NIR,Madhya Pradesh,22.425676,80.108853
NAKACHARI,NCH,Assam,26.70813334,94.39391294
ALIPUR DUAR JN,APDJ,West Bengal,26.523279,89.534048
BHARWARI,BRE, ,25.5591917,81.4918665
Jhitkia,JTK,West Bengal,25.626133,88.052972
MANOHARGANJ,MNJ, ,25.524992,81.559075
SAIYID SARAWAN,SYWN, ,25.494982,81.613788
MANAURI,MRE, ,25.470171,81.662491
BAMHRAULI,BMU, ,25.44494,81.741641
SUBEDARGANJ,SFG, ,25.439879,81.789897
KOLAKALUR,KLX, ,16.295186,80.627521
CHILUVUR,CLVR, ,16.379558,80.616908
KOVVUR,KVR, ,17.007084,81.726495
GODAVARI,GVN, ,17.007707,81.77083
KANJIKODE,KJKD, ,10.800919,76.755316
Sanka,SNKR,West Bengal,23.52693,86.616164
Binaiki,VNK,Madhya Pradesh,22.72003,79.902424
Gocharan,GCN,West Bengal,22.277738,88.45837
Seoni,SEY,Madhya Pradesh,22.075431,79.545769
Sudamdih,SDMD,West Bengal,23.654478,86.44032
BARAUNI JN,BJU, ,25.461768,85.988748
DAMOH,DMO, ,23.836693,79.432246
ADAS ROAD,ADD, ,22.48662808,73.03469445
Chalala,CLC,Gujarat,21.4155588,71.1622425
RANOLI,RNO, ,22.4052521,73.11226621
HARIPUR,HP,Rajasthan,26.012397,74.024928
Kumarghat,KUGT,Tripura,24.15063031,92.03483312
AURANGABAD,AWB,Maharashtra,19.859276,75.310646
BEVINAHALU,BNL,Andhra Pradesh,15.16697376,77.21298975
SOMNATH,SMNH,Gujarat,20.896132,70.408254
CUDDALORE PORT,CUPJ,Tamil Nadu,11.715119,79.766287
PALEJ,PLJ, ,21.921578,73.072387
GOLE,GOLE,Rajasthan,25.891938,72.00004
TIRORA,TRO, ,21.415039,79.918035
JAMGA,JMG, ,21.874971,83.564842
AHALYAPUR,AHLR, ,26.468381,83.824844
TENALI JN,TEL, ,16.242409,80.640413
Tummanamgutta,TAT,Andhra Pradesh,13.707414,78.379263
CHAGALLU,CU, ,16.965077,81.690558
PASIVEDALA,PSDA, ,16.99331,81.700939
Marwar Bagra,MBGA,Rajasthan,25.208689,72.593761
JANIYANA,JNE,Rajasthan,25.827638,72.336284
SAMDHARI JN,SMR,Rajasthan,25.837202,72.573007
SUTLANA,SUT,Rajasthan,25.970783,72.951414
PORBANDAR,PBR,Gujarat,21.643598,69.615506
Chikkandawadi,CKVD,Karnataka,14.13792027,76.20256849
Bhaton Ki Gali,BHG,Rajasthan,27.105646,75.712919
Hanumangarh Town,HMO,Rajasthan,29.57422055,74.33120188
SARDARNAGAR,SANR, ,26.700859,83.494054
Giridih,GRD,Jharkhand,24.1822559,86.3146452
CHAURI CHAURA,CC, ,26.673882,83.545894
KOMATIPALLI,KMPT, ,18.0235473,79.51589222
HASANPARTHI RD,HSP, ,18.078262,79.50185
Gagariya,GGY,Rajasthan,25.741083,70.734877
NONAPAR,NNPR, ,26.353209,83.969786
MAIRWA,MW, ,26.240309,84.151979
TIRUPPUR KULIPALAYAM,KUY, ,11.14402792,77.38931359
PARLI,PLL, ,10.800415,76.559421
Agartala,AGTL,Tripura,23.792417,91.278481
MANKARAI,MNY, ,10.771526,76.500232
LAKKITI,LDY, ,10.753217,76.434467
PALAPPURAM,PLPM, ,10.75251879,76.39838581
OTTAPPALAM,OTP, ,10.770046,76.377993
MANNANUR,MNUR, ,10.749322,76.323555
JIRADEI,ZRDE, ,26.220819,84.256142
SIWAN JN,SV, ,26.210724,84.359267
PACHRUKHI,PCK, ,26.162628,84.415667
DURAUNDHA JN,DDA, ,26.086973,84.458946
CHAINWA,CW, ,26.022117,84.496496
POKRAN,POK,Rajasthan,26.930571,71.923129
ODHANIYA CHACHA,OCH,Rajasthan,26.972848,71.718687
EKMA,EKMA, ,25.967099,84.53637
DAUDPUR,DDP, ,25.90709,84.591425
KOPA SAMHOTA,KPS, ,25.851866,84.652814
BITHAULI,BTHL, ,25.817069,85.29179
GAURI BAZAR,GB, ,26.594934,83.667801
BAITALPUR,BALR, ,26.5526634,83.7385572
DEORIA SADAR,DEOS, ,26.50768117,83.7819591
NUNKHAR,NRA, ,26.425483,83.880179
Agomoni,AGMN, ,26.225947,89.786242
BHANDUP,BND, ,19.14200998,72.93723505
AMRITSAR JN,ASR, ,31.631512,74.858025
MULLURKARA,MUC, ,10.705843,76.271415
WADAKANCHERI,WKI, ,10.648956,76.237041
SURATGARH JN,SOG,Rajasthan,29.324152,73.907248
Sondad,SNV,Maharashtra,21.079845,80.094149
Kayamsar,QMRS,Rajasthan,28.125576,75.000562
Aliyabad,AYB,Karnataka,16.878268,75.758306
Munabao,MBF,Rajasthan,25.742614,70.276543
Chilikidara,CLDR,Orissa,21.243022,85.827112
Kolayat,KLYT,Rajasthan,27.835319,72.955074
CHALSA JN,CLD,West Bengal,26.882215,88.798213
CARRON,CRX,West Bengal,26.880279,88.9704
ITARSI F CABIN,ETF, ,22.61521,77.774856
Chandanpahari,CNPI,Jharkhand,24.404224,86.953082
MIDGHAT,MIG, ,22.828141,77.647526
BANDAKPUR,BNU, ,23.848206,79.575956
Chhota Gudha,COD,Rajasthan,27.293803,75.599508
CHOKA,CHQ, ,22.864326,77.638968
MORADABAD,MB, ,28.831621,78.765801
ISRANA,IRA,Haryana,29.291379,76.85286
KARACHIYA YARD,KRCA, ,22.380046,73.132981
BAJVA,BJW, ,22.3662226,73.1431251
KOLLIDAM,CLN,Tamil Nadu,11.332713,79.718347
CHANDERIYA,CNA,Rajasthan,24.939558,74.629979
CHARKHARI ROAD,CRC,Uttar Pradesh,25.307556,79.745653
BHATNI JN,BTT, ,26.381257,83.934035
Cossimbazar,CSZ,West Bengal,24.122264,88.266903
VAREDIYA,VRE, ,21.85838,73.048979
NABIPUR,NIU, ,21.807541,73.030592
CHAVAJ,CVJ, ,21.753134,73.010489
ANKLESHWAR JN,AKV, ,21.623889,73.000633
CHANDRANATHPUR,CNE,Assam,24.984962,92.716658
PANOLI,PAO, ,21.535197,72.978371
CHANDAWAL,CNL,Rajasthan,25.94654272,73.86881458
BHESANA,BFY,Rajasthan,25.82438,73.7180903
HATHURAN,HAT, ,21.501091,72.969512
Coromandel,COL,Karnataka,12.97518,78.257278
KUDSAD,KDSD, ,21.37682,72.91648
SAYAN,SYN, ,21.317203,72.890287
Makrandpur,MQP,Uttar Pradesh,28.213407,79.290097
GOTHANGAM,GTX, ,21.294043,72.880104
MULANGUNNATHUKAVU,MGK, ,10.596939,76.207809
CHANAKYAPURI,CNKP,Delhi NCT,28.591905,77.172004
UTRAN,URN, ,21.232602,72.854796
SURAT,ST, ,21.206568,72.840793
UDHNA JN,UDN, ,21.171156,72.851461
VALIVERU,VRU, ,16.188934,80.605456
MARAMPALLI,MRPL, ,16.843925,81.633874
NIDADAVOLU JN,NDD, ,16.898297,81.675504
GUDMA,GDM, ,21.416128,80.287678
BHUPDEOPUR,BEF, ,21.97503504,83.25998102
RAIGARH,RIG, ,21.891289,83.39067
KOTARLIA,KRL, ,21.883182,83.482238
Chettinad,CTND,Tamil Nadu,10.160613,78.775924
SHERPUR,SEPR,Uttar Pradesh,28.919358,78.25287
NAVSARI,NVS,Gujarat,20.946851,72.914294
Jalalabad,JBD,Punjab,30.60775,74.268446
DAM DIM,DDM,West Bengal,26.859243,88.671333
CHITROD,COE,Gujarat,23.417869,70.655356
Chomun Samod,COM,Rajasthan,27.158223,75.70272
DHULKOT,DKT,Haryana,30.395686,76.787535
KANWAR,KUW, ,25.70365207,81.21464405
CHANDAULI MJHWR,CDMR, ,25.261093,83.267724
KHAGA,KGA, ,25.761853,81.102658
KATOGHAN,KTCE, ,25.730035,81.165606
ATHSARAI,ASCE, ,25.67872881,81.26203008
Carmelaram,CRLM,Karnataka,12.907633,77.706014
CHANDAR,CNR,Goa,15.264834,74.047794
Chimidipalli,CMDP,Andhra Pradesh,18.262764,83.076862
VINDHYACHAL,BDL, ,25.1607717,82.5020212
TISUA,TSA, ,28.136577,79.586289
Thasra,TAS,Gujarat,22.797769,73.221682
GHAGHARA GHAT,GHT, ,27.1026835,81.5033135
BABHNAN,BV, ,26.938525,82.500127
Chilwariya,CLW,Uttar Pradesh,27.487001,81.698732
GAUR,GAUR, ,26.913411,82.561158
TINICH,TH, ,26.882281,82.639707
BHATPAR RANI,BHTR, ,26.3104766,84.0331014
TURKI,TUR, ,26.034431,85.354709
RAM DAYALU NAGAR,RD, ,26.097367,85.383596
BHITAURA,BTO, ,28.469954,79.306506
PARSA KHERA,PKRA, ,28.433371,79.341852
CHANETI,CHTI, ,28.30879585,79.42916573
BILPUR,BLPU, ,28.083668,79.625781
MIRANPUR KATRA,MK, ,28.03708,79.674809
MILAKPUR HALT,MILA, ,27.98826137,79.71796183
TILHAR,TLH, ,27.972984,79.741776
CHIRAKKAL,CQL,Kerala,11.911049,75.353696
PUNKUNNAM,PNQ, ,10.535054,76.20943
THRISUR,TCR, ,10.51479,76.207919
CHAMARAJANAGAR,CMNR,Karnataka,11.934891,76.932807
CHAMARAJAPURAM,CMJ,Karnataka,12.29844,76.637861
BARKHERA,BKA, ,22.917359,77.649646
OBAIDULLA GANJ,ODG, ,22.994912,77.587299
ANCHELI,ACL,Gujarat,20.845167,72.944978
CHORVAD ROAD,CVR,Gujarat,21.055196,70.290734
CHIKALTHANA,CTH,Maharashtra,19.859565,75.402851
BHARATKUND,BTKD,Uttar Pradesh,26.6360965,82.1273931
Dhariwal,DHW,Punjab,31.949113,75.321565
SARAI,SAI, ,25.779962,85.276609
Chandiposi,CPE,Orissa,22.068677,84.915988
CHUDAWA,CRU,Maharashtra,19.18032826,77.11693034
DHUBRI,DBB,Assam,26.023137,89.977952
PANIPAT JN,PNP, ,29.388948,76.963793
CHANDPUR SIAU HALT,CPS,Uttar Pradesh,29.13201,78.275855
CHANOL,CX,Gujarat,22.427916,70.538842
CHAK SIKANDAR,CSR,Bihar,25.67672024,85.36524614
Charpokhari Halt,CRQ,Bihar,25.36151577,84.48760319
VARANGAON,VNA, ,21.00971319,75.90065779
DHANG,DAG,Bihar,26.7174,85.353298
Charaud,CRW,Haryana,29.0094584,75.6466632
BORTALAO,BTL, ,21.218301,80.626207
KHARSIA,KHS, ,21.99178,83.102414
ROBERTSON,ROB, ,21.988744,83.182508
CHAPARMUKH JN,CPK,Assam,26.202272,92.511718
Chhintanwala,CTW,Punjab,30.365958,76.014229
Chitradurg,CTA,Karnataka,14.231154,76.386431
MODUKURU,MDKU, ,16.124988,80.583808
TSUNDURU,TSR, ,16.157497,80.586487
NAVABPALEM,NBM, ,16.831606,81.606702
N MAYURBHANJ ROAD,NMBR, ,21.666901,87.038724
BASTA,BTS, ,21.7029241,87.0637831
Chhota Udepur,CTD,Gujarat,22.314788,74.014286
Digboi,DBY,Assam,27.383483,95.616982
CHONDI,CWI,Maharashtra,19.43061977,77.15566662
CHANNASANDRA,CSDR,Karnataka,13.01094072,77.66297057
PALAKKAD,PGT, ,10.802091,76.641926
Mindha,MNHA,Rajasthan,27.112061,75.33241
DABHODA,DBO,Gujarat,23.168331,72.748038
DHABAN,DABN,Rajasthan,29.859997,74.54288
DABLI RATHAN,DBI,Rajasthan,29.542416,74.19093
SIDDHPUR,SID,Gujarat,23.918067,72.367959
ARIGADA,ARGD, ,23.643461,85.466475
CHHATAINI,CTJ,Madhya Pradesh,23.994088,81.287323
KATANGI KHURD,KTKD,Madhya Pradesh,23.77586961,80.48673398
Choral,CRL,Madhya Pradesh,22.450677,75.944135
Ambassa,ABSA,Tripura,23.930507,91.860783
Navalpura,NVP, ,23.289155,73.199554
Dabka,DBKA,Madhya Pradesh,21.361353,76.720809
Champapukur,CQR,West Bengal,22.656634,88.80796
NAYA AZADPUR,NDAZ, ,28.714564,77.166876
ADARSH NAGAR DELHI,ANDI, ,28.714205,77.166707
Churu,CUR,Rajasthan,28.288281,74.966203
BADLI,BHD, ,28.7468,77.1377425
KHERA KALAN,KHKN, ,28.769718,77.115838
HOLAMBI KALAN,HUK, ,28.801187,77.102334
NARELA,NUR, ,28.846886,77.085727
Chhindwara Junction,CWA,Madhya Pradesh,22.058201,78.953212
RATHDHANA,RDDE, ,28.904132,77.059148
Chandanattop Halt,CTPE,Kerala,8.932478,76.64532
HARANA KALAN,HNN, ,28.945425,77.039135
SONIPAT,SNP, ,28.989423,77.017343
SANDAL KALAN,SLKN, ,29.063432,77.012589
RAJLU GARHI,RUG, ,29.090744,77.012109
GANAUR,GNU, ,29.130776,77.01075
BHODWAL MAJRI,BDMJ, ,29.1852092,77.0082364
SAMALKHA,SMK, ,29.240172,77.003034
DIWANA,DWNA, ,29.318564,76.980194
BABARPUR,BBDE, ,29.449652,76.966178
KOHAND,KFU, ,29.494782,76.968758
GHARAUNDA,GRA, ,29.541636,76.96575
BAZIDA JATAN,BZJT, ,29.613391,76.965812
KARNAL,KUN, ,29.694566,76.969821
BHAINI KHURD,BZK, ,29.751544,76.955362
TARAORI,TRR, ,29.797906,76.93858
NILOKHERI,NLKR, ,29.831492,76.925491
KURUKSHETRA JN,KKDE, ,29.96944,76.852795
DHANUVACHAPURAM,DAVM,Kerala,8.378802,77.124352
CHATTRIPUT,CTS,Orissa,18.922722,82.590027
D.A.V.C.H. JALANDHAR,DAVJ,Punjab,31.346977,75.56132
INDRAPURI,DLPI,Delhi NCT,28.62834247,77.14358826
Guwarighat,GRG,Madhya Pradesh,23.110295,79.927613
DELHI SAFDARJUNG,DSJ,Delhi NCT,28.582121,77.186969
DHURANA,DHRN,Haryana,29.253606,76.803295
DUDIA,DUK,Rajasthan,25.934458,72.902042
DUROJI,DAJ,Karnataka,15.227107,76.70013
CHAKIA THERMAL HALT,BTPH, ,25.40126394,86.01624276
JATHA,JDDA, ,22.01598039,82.8753337
JHARRADIH,JDI, ,21.999876,83.050747
Devakottai Road,DKO,Tamil Nadu,10.037611,78.761747
DIBAI,DIB,Uttar Pradesh,28.19378,78.303084
JUHI OUTER CABIN,CNJO, ,26.45319019,80.32390984
LAMBIYA,LMA,Rajasthan,25.578334,74.585615
Devgarh Madriya,DOHM,Rajasthan,25.610206,73.855552
DAYANAND NAGAR,DYE,Andhra Pradesh,17.456247,78.53135
DABILPUR,DBV,Andhra Pradesh,17.674226,78.470315
BAHADURGARH,BGZ,Haryana,28.700863,76.930886
DAMNAGAR,DME,Gujarat,21.688346,71.509053
Aranghata,AG,West Bengal,23.242037,88.613551
RELANGI,RLG,Andhra Pradesh,16.709921,81.64411
BMY C CABIN,CCAB, ,21.209789,81.443063
DHONDI,DNDI,Maharashtra,19.106268,76.736112
NIDUBROLU,NDO, ,16.067904,80.557243
Fazilka,FKA,Punjab,30.408641,74.025417
TADEPALLIGUDEM,TDD, ,16.809961,81.526314
PRATTIAPADU,PTPU, ,16.820865,81.581431
Bardi Halt,BDHT,Madhya Pradesh,21.621177,78.822411
Dodajala Lake,DJL,Karnataka,13.183156,77.652122
Dhing,DIU,Assam,26.453101,92.450865
Dugdol,DGQ,Gujarat,24.631708,72.096828
Dagru,DAU,Punjab,30.834858,75.047442
GHOSHAWAR,GWH, ,25.73742114,85.24335074
HAJIPUR JN,HJP, ,25.702909,85.2155
PUDUKAD,PUK, ,10.420507,76.260707
NELLAYI,NYI, ,10.392415,76.275994
UTTUKULI,UKL, ,11.156494,77.448615
TIRUPPUR,TUP, ,11.108906,77.341247
SOMANUR,SNO, ,11.087247,77.18638
SULUR ROAD,SUU, ,11.049634,77.11729
IRUGUR,IGU, ,11.017199,77.069134
SINGANALLUR,SHI, ,11.012921,77.039459
PILAMEDU,PLMD, ,11.033241,76.999566
COIMBATORE JN,CBE, ,10.997639,76.966298
PODANUR JN,PTJ, ,10.965425,76.990125
MADUKARAI,MDKI, ,10.900858,76.94295
IRINJALAKUDA,IJK, ,10.339456,76.280924
CHALAKUDI,CKI, ,10.3017975,76.3218076
DIVINE NAGAR,DINR, ,10.28539937,76.33631436
KORATTI ANGADI,KRAN, ,10.260123,76.355901
KARUKKUTTY,KUC, ,10.225757,76.373077
ANGAMALI,AFK, ,10.183676,76.37786
CHOVVARA,CWR, ,10.133064,76.372189
Darjeeling,DJ,West Bengal,27.038151,88.263326
ALUVA,AWY, ,10.108163,76.356508
KALAMASSERY,KLMR, ,10.061818,76.326956
EDAPPALLY,IPL, ,10.034338,76.298271
ERNAKULAM TOWN,ERN, ,9.991582,76.2861
ETTIMADAI,ETMD, ,10.898788,76.897155
WALAYAR,WRA, ,10.84718103,76.83761351
Dhablan,DBN,Punjab,30.33791332,76.27691787
Dabpal,DBF,Chhattisgarh,18.92798,81.488923
Dhing Bazar,DBZ,Assam,26.455873,92.481039
CHULLIMADA,CLMD, ,10.837165,76.801793
KOTTEKAD,KTKU, ,10.815731,76.693457
DALMERA,DLC,Rajasthan,28.417832,73.65658
TIRUNETTUR,TNU, ,9.933729,76.307657
KUMBALAM,KUMM, ,9.906723,76.3116
AROOR HALT,AROR, ,9.8791031,76.302833
EZHUPPUNNA,EZP, ,9.820288,76.302391
TURAVUR,TUVR, ,9.772809,76.309979
ERNAKULAM JN. C,ERSC, ,9.97806,76.289859
DHANAPUR ORISSA,DIR,Orissa,18.945173,82.507393
DEORANIAN,DRN,Uttar Pradesh,28.64478,79.476473
BEGU SARAI,BGS,Bihar,25.425296,86.134476
BAKHLETA,BQQ, ,23.846381,79.96972
GULABPURA,GBP,Rajasthan,25.90279519,74.6559545
RITHI,REI, ,23.904168,80.140267
MORADABAD WEST,MBWC, ,28.83865785,78.75963388
HARTHALA,HRH, ,28.87198721,78.73559543
GOHAD ROAD,GOA,Madhya Pradesh,26.480421,78.439153
DHANORA DECCAN,DHNR,Maharashtra,19.46551744,78.13275403
ALLAHABAD JN,ALD, ,25.446241,81.828816
Etah,ETAH,Uttar Pradesh,27.571173,78.653919
GANDHIGRAM,GG,Gujarat,23.02676,72.568831
BHUSAVAL JN,BSL, ,21.0472812,75.7886717
KOPAR ROAD,KOPR, ,19.211345,73.077841
GANGATIKURI,GGLE,West Bengal,23.71822,88.087286
KARWANDIA,KWD, ,24.953195,84.084599
Gadra Road,GDD,Rajasthan,25.743851,70.64304
SASARAM,SSM, ,24.955926,84.019423
DHATRIGRAM,DTAE,West Bengal,23.277796,88.311822
SELOO ROAD,SLOR, ,20.77665,78.714909
SINDI,SNI, ,20.816446,78.883342
Dhansura,DNUA,Gujarat,23.351916,73.19871
SULGARE,SGRD, ,22.019979,82.743775
BARADWAR,BUA, ,22.011725,82.813724
SAKTI,SKT, ,22.011785,82.956526
ERIODU,EDU,Tamil Nadu,10.51562799,78.05712899
SARJU,SUJ, ,27.111885,81.648076
GANGAIKONDAN,GDN,Tamil Nadu,8.830736,77.786203
LANDAURA,LDR, ,29.814493,77.941557
DUGANPUR,DUN, ,28.658317,79.13019
CLUTTER BUCK GANJ,CBJ, ,28.396895,79.371946
BAREILLY,BE, ,28.3371543,79.4108444
DITOKCHERRA,DTC,Assam,25.090538,92.798715
BADURPUR GHAT,BPG,Assam,24.872902,92.581099
Girdharpur,GIW,Rajasthan,25.845508,76.794583
RASURIYA,RYS, ,28.26396,79.474459
NAYAGAON,NYO, ,25.763263,85.099366
PARMANANDPUR,PMU, ,25.741291,85.133951
Gainsari Junction,GIR,Uttar Pradesh,27.5268393,82.54417891
BAPATLA,BPP, ,15.9086144,80.4684248
APPIKATLA,APL, ,15.970371,80.514466
MACHAVARAM,MCVM, ,16.025343,80.541541
CHEBROL,CEL, ,16.819948,81.396533
Ghogardiha,GGH,Bihar,26.282768,86.468503
BADAMPUDI,BPY, ,16.828104,81.473751
AMARDA ROAD,ARD, ,21.734258,87.102374
PERUNDURAI,PY, ,11.25334,77.628672
FAQARSAR,FSR,Punjab,30.189431,74.572572
CHAKITING,CFG,Assam,26.5616754,94.09565462
INGUR,IGR, ,11.22501,77.587299
VIJAYAMANGALAM,VZ, ,11.195525,77.522231
DOULTA,DLA, ,24.998509,78.429325
TALBAHAT,TBT, ,25.039255,78.414552
MATATILA,MZX, ,25.0851,78.40284
BASAI,BZY, ,25.142923,78.394254
BABINA,BAB, ,25.237832,78.451748
KHAJRAHA,KHJ, ,25.304158,78.478365
BIJAULI,BJI, ,25.3764678,78.5177461
JHANSI A CABIN,JHSA, ,25.41949,78.545787
JHANSI JN,JHS, ,25.443585,78.552985
KARARI,KRQ, ,25.5308,78.509084
DATIA,DAA, ,25.64107,78.456356
SONAGIR,SOR, ,25.730668,78.409099
KOTRA,KTRA, ,25.811254,78.381661
DABRA,DBA, ,25.881197,78.331015
SIMARIATAL,SMTL, ,25.92199561,78.30425957
ANANT PAITH,AEH, ,25.9553895,78.27613209
Farhatnagar,FRH,Uttar Pradesh,27.081164,80.143212
Gautamdhara,GATD,Jharkhand,23.34988098,85.63299457
Gir Gadhara,GEG,Gujarat,20.906347,70.919246
Phulad,FLD,Rajasthan,25.623979,73.813118
Ganga Dham,GADM,Uttar Pradesh,27.20976,81.930509
Dhamtari,DTR,Chhattisgarh,20.714515,81.550321
DHAREWADA,DRW,Gujarat,23.960816,72.378575
KHIMEL,KZQ,Rajasthan,25.300189,73.279577
HARDUA,HDU, ,23.91505422,80.28341274
HALDWANI,HDW,Uttarakhand,29.215097,79.533732
AKALTARA,AKT, ,22.029121,82.422049
